Algorithms,Accuracy,Precision,Recall,F1
KN,0.923275306,1,0.335195531,0.50209205
RF,0.978723404,1,0.815642458,0.898461538
ETC,0.974854932,0.948717949,0.826815642,0.88358209
SVC,0.974854932,0.932098765,0.843575419,0.885630499
GBDT,0.956802063,0.930769231,0.675977654,0.783171521
xgb,0.968407479,0.927631579,0.787709497,0.851963746
LR,0.957446809,0.895104895,0.715083799,0.795031056
BgC,0.963894262,0.855491329,0.826815642,0.840909091
AdaBoost,0.936814958,0.818897638,0.581005587,0.679738562
DT,0.940038685,0.790540541,0.653631285,0.71559633
NB,0.965702,1,0.825642,0.887263
